timestamp;image_file;test;prompt;response
240327105950;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_bottomright.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327105959;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_bottomright.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110008;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_bottomright.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110016;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_topleft.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110025;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_topleft.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110033;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_topleft.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110043;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_bottomleft.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110051;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_bottomleft.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110059;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_bottomleft.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110109;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_topright.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110117;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_topright.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110126;malsha_iv\S15\1507162469690492_front_horizondown/1507162469690492_front_horizondown_topright.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110135;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_bottomright.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110143;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_bottomright.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110152;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_bottomright.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110200;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_bottomleft.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110209;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_bottomleft.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110217;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_bottomleft.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110226;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_topright.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110234;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_topright.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110242;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_topright.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110252;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_topleft.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110300;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_topleft.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110309;malsha_iv\S15\1507162464690393_front_horizondown/1507162464690393_front_horizondown_topleft.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110318;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_bottomleft.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110326;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_bottomleft.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110335;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_bottomleft.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110343;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_topleft.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110351;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_topleft.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110400;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_topleft.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110408;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_bottomright.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110417;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_bottomright.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110425;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_bottomright.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110433;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_topright.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110442;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_topright.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240327110450;malsha_iv\S15\1507162468690460_front_horizondown/1507162468690460_front_horizondown_topright.png;2;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110459;malsha_iv\S15\1507162467690523_front_horizondown/1507162467690523_front_horizondown_topleft.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240327110508;malsha_iv\S15\1507162467690523_front_horizondown/1507162467690523_front_horizondown_topleft.png;1;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
