timestamp;image_file;response
240318164433;malsha_iv\S16\1506982633360489_front_horizondown/1506982633360489_front_horizondown_bottomleft.png;no
240318164442;malsha_iv\S16\1506982633360489_front_horizondown/1506982633360489_front_horizondown_bottomright.png;no
240318164443;malsha_iv\S16\1506982633360489_front_horizondown/1506982633360489_front_horizondown_topleft.png;no
240318164444;malsha_iv\S16\1506982633360489_front_horizondown/1506982633360489_front_horizondown_topright.png;no
240318164445;malsha_iv\S16\1506982634360705_front_horizondown/1506982634360705_front_horizondown_bottomleft.png;no
240318164446;malsha_iv\S16\1506982634360705_front_horizondown/1506982634360705_front_horizondown_bottomright.png;no
240318164447;malsha_iv\S16\1506982634360705_front_horizondown/1506982634360705_front_horizondown_topleft.png;no
240318164448;malsha_iv\S16\1506982634360705_front_horizondown/1506982634360705_front_horizondown_topright.png;no
240318164449;malsha_iv\S16\1506982635361101_front_horizondown/1506982635361101_front_horizondown_bottomleft.png;no
240318164450;malsha_iv\S16\1506982635361101_front_horizondown/1506982635361101_front_horizondown_bottomright.png;no
240318164451;malsha_iv\S16\1506982635361101_front_horizondown/1506982635361101_front_horizondown_topleft.png;no
240318164500;malsha_iv\S16\1506982635361101_front_horizondown/1506982635361101_front_horizondown_topright.png;yes
240318164500;malsha_iv\S16\1506982636361477_front_horizondown/1506982636361477_front_horizondown_bottomleft.png;no
240318164501;malsha_iv\S16\1506982636361477_front_horizondown/1506982636361477_front_horizondown_bottomright.png;no
240318164502;malsha_iv\S16\1506982636361477_front_horizondown/1506982636361477_front_horizondown_topleft.png;no
240318164503;malsha_iv\S16\1506982636361477_front_horizondown/1506982636361477_front_horizondown_topright.png;yes
240318164504;malsha_iv\S16\1506982637361903_front_horizondown/1506982637361903_front_horizondown_bottomleft.png;no
240318164504;malsha_iv\S16\1506982637361903_front_horizondown/1506982637361903_front_horizondown_bottomright.png;no
240318164505;malsha_iv\S16\1506982637361903_front_horizondown/1506982637361903_front_horizondown_topleft.png;no
240318164507;malsha_iv\S16\1506982637361903_front_horizondown/1506982637361903_front_horizondown_topright.png;yes
240318164507;malsha_iv\S16\1506982638362341_front_horizondown/1506982638362341_front_horizondown_bottomleft.png;no
240318164508;malsha_iv\S16\1506982638362341_front_horizondown/1506982638362341_front_horizondown_bottomright.png;no
240318164509;malsha_iv\S16\1506982638362341_front_horizondown/1506982638362341_front_horizondown_topleft.png;no
240318164510;malsha_iv\S16\1506982638362341_front_horizondown/1506982638362341_front_horizondown_topright.png;yes
240318164511;malsha_iv\S16\1506982639363513_front_horizondown/1506982639363513_front_horizondown_bottomleft.png;no
240318164511;malsha_iv\S16\1506982639363513_front_horizondown/1506982639363513_front_horizondown_bottomright.png;no
240318164512;malsha_iv\S16\1506982639363513_front_horizondown/1506982639363513_front_horizondown_topleft.png;no
240318164513;malsha_iv\S16\1506982639363513_front_horizondown/1506982639363513_front_horizondown_topright.png;yes
240318164514;malsha_iv\S16\1506982640363983_front_horizondown/1506982640363983_front_horizondown_bottomleft.png;no
240318164514;malsha_iv\S16\1506982640363983_front_horizondown/1506982640363983_front_horizondown_bottomright.png;no
240318164518;malsha_iv\S16\1506982640363983_front_horizondown/1506982640363983_front_horizondown_topleft.png;yes
240318164520;malsha_iv\S16\1506982640363983_front_horizondown/1506982640363983_front_horizondown_topright.png;yes
240318164521;malsha_iv\S16\1506982641363914_front_horizondown/1506982641363914_front_horizondown_bottomleft.png;no
240318164521;malsha_iv\S16\1506982641363914_front_horizondown/1506982641363914_front_horizondown_bottomright.png;no
240318164523;malsha_iv\S16\1506982641363914_front_horizondown/1506982641363914_front_horizondown_topleft.png;yes
240318164524;malsha_iv\S16\1506982641363914_front_horizondown/1506982641363914_front_horizondown_topright.png;no
240318164524;malsha_iv\S16\1506982642363883_front_horizondown/1506982642363883_front_horizondown_bottomleft.png;no
240318164525;malsha_iv\S16\1506982642363883_front_horizondown/1506982642363883_front_horizondown_bottomright.png;no
240318164526;malsha_iv\S16\1506982642363883_front_horizondown/1506982642363883_front_horizondown_topleft.png;yes
240318164528;malsha_iv\S16\1506982642363883_front_horizondown/1506982642363883_front_horizondown_topright.png;yes
240318164528;malsha_iv\S16\1506982643363822_front_horizondown/1506982643363822_front_horizondown_bottomleft.png;no
240318164529;malsha_iv\S16\1506982643363822_front_horizondown/1506982643363822_front_horizondown_bottomright.png;no
240318164530;malsha_iv\S16\1506982643363822_front_horizondown/1506982643363822_front_horizondown_topleft.png;yes
240318164531;malsha_iv\S16\1506982643363822_front_horizondown/1506982643363822_front_horizondown_topright.png;yes
240318164532;malsha_iv\S16\1506982644363951_front_horizondown/1506982644363951_front_horizondown_bottomleft.png;no
240318164532;malsha_iv\S16\1506982644363951_front_horizondown/1506982644363951_front_horizondown_bottomright.png;no
240318164533;malsha_iv\S16\1506982644363951_front_horizondown/1506982644363951_front_horizondown_topleft.png;yes
240318164535;malsha_iv\S16\1506982644363951_front_horizondown/1506982644363951_front_horizondown_topright.png;yes
240318164536;malsha_iv\S16\1506982645363550_front_horizondown/1506982645363550_front_horizondown_bottomleft.png;no
240318164536;malsha_iv\S16\1506982645363550_front_horizondown/1506982645363550_front_horizondown_bottomright.png;no
240318164537;malsha_iv\S16\1506982645363550_front_horizondown/1506982645363550_front_horizondown_topleft.png;yes
240318164539;malsha_iv\S16\1506982645363550_front_horizondown/1506982645363550_front_horizondown_topright.png;no
240318164539;malsha_iv\S16\1506982646363434_front_horizondown/1506982646363434_front_horizondown_bottomleft.png;no
240318164540;malsha_iv\S16\1506982646363434_front_horizondown/1506982646363434_front_horizondown_bottomright.png;no
240318164541;malsha_iv\S16\1506982646363434_front_horizondown/1506982646363434_front_horizondown_topleft.png;yes
240318164542;malsha_iv\S16\1506982646363434_front_horizondown/1506982646363434_front_horizondown_topright.png;no
240318164543;malsha_iv\S16\1506982647363910_front_horizondown/1506982647363910_front_horizondown_bottomleft.png;no
240318164543;malsha_iv\S16\1506982647363910_front_horizondown/1506982647363910_front_horizondown_bottomright.png;no
240318164544;malsha_iv\S16\1506982647363910_front_horizondown/1506982647363910_front_horizondown_topleft.png;yes
240318164545;malsha_iv\S16\1506982647363910_front_horizondown/1506982647363910_front_horizondown_topright.png;no
240318164546;malsha_iv\S16\1506982648363748_front_horizondown/1506982648363748_front_horizondown_bottomleft.png;no
240318164547;malsha_iv\S16\1506982648363748_front_horizondown/1506982648363748_front_horizondown_bottomright.png;no
240318164548;malsha_iv\S16\1506982648363748_front_horizondown/1506982648363748_front_horizondown_topleft.png;yes
240318164548;malsha_iv\S16\1506982648363748_front_horizondown/1506982648363748_front_horizondown_topright.png;no
240318164549;malsha_iv\S16\1506982649363651_front_horizondown/1506982649363651_front_horizondown_bottomleft.png;no
240318164550;malsha_iv\S16\1506982649363651_front_horizondown/1506982649363651_front_horizondown_bottomright.png;no
240318164550;malsha_iv\S16\1506982649363651_front_horizondown/1506982649363651_front_horizondown_topleft.png;yes
240318164551;malsha_iv\S16\1506982649363651_front_horizondown/1506982649363651_front_horizondown_topright.png;no
240318164552;malsha_iv\S16\1506982650364048_front_horizondown/1506982650364048_front_horizondown_bottomleft.png;no
240318164552;malsha_iv\S16\1506982650364048_front_horizondown/1506982650364048_front_horizondown_bottomright.png;no
240318164553;malsha_iv\S16\1506982650364048_front_horizondown/1506982650364048_front_horizondown_topleft.png;yes
240318164553;malsha_iv\S16\1506982650364048_front_horizondown/1506982650364048_front_horizondown_topright.png;no
240318164554;malsha_iv\S16\1506982651363957_front_horizondown/1506982651363957_front_horizondown_bottomleft.png;no
240318164555;malsha_iv\S16\1506982651363957_front_horizondown/1506982651363957_front_horizondown_bottomright.png;no
240318164555;malsha_iv\S16\1506982651363957_front_horizondown/1506982651363957_front_horizondown_topleft.png;yes
240318164556;malsha_iv\S16\1506982651363957_front_horizondown/1506982651363957_front_horizondown_topright.png;no
240318164817;malsha_iv\S17\1506992081035982_front_horizondown/1506992081035982_front_horizondown_bottomleft.png;no
240318164818;malsha_iv\S17\1506992081035982_front_horizondown/1506992081035982_front_horizondown_bottomright.png;no
240318164819;malsha_iv\S17\1506992081035982_front_horizondown/1506992081035982_front_horizondown_topleft.png;yes
240318164819;malsha_iv\S17\1506992081035982_front_horizondown/1506992081035982_front_horizondown_topright.png;no
240318164820;malsha_iv\S17\1506992082036169_front_horizondown/1506992082036169_front_horizondown_bottomleft.png;no
240318164821;malsha_iv\S17\1506992082036169_front_horizondown/1506992082036169_front_horizondown_bottomright.png;no
240318164821;malsha_iv\S17\1506992082036169_front_horizondown/1506992082036169_front_horizondown_topleft.png;yes
240318164822;malsha_iv\S17\1506992082036169_front_horizondown/1506992082036169_front_horizondown_topright.png;no
240318164823;malsha_iv\S17\1506992083036117_front_horizondown/1506992083036117_front_horizondown_bottomleft.png;no
240318164823;malsha_iv\S17\1506992083036117_front_horizondown/1506992083036117_front_horizondown_bottomright.png;no
240318164824;malsha_iv\S17\1506992083036117_front_horizondown/1506992083036117_front_horizondown_topleft.png;yes
240318164826;malsha_iv\S17\1506992083036117_front_horizondown/1506992083036117_front_horizondown_topright.png;no
240318164826;malsha_iv\S17\1506992084036324_front_horizondown/1506992084036324_front_horizondown_bottomleft.png;no
240318164827;malsha_iv\S17\1506992084036324_front_horizondown/1506992084036324_front_horizondown_bottomright.png;no
240318164828;malsha_iv\S17\1506992084036324_front_horizondown/1506992084036324_front_horizondown_topleft.png;yes
240318164829;malsha_iv\S17\1506992084036324_front_horizondown/1506992084036324_front_horizondown_topright.png;no
240318164830;malsha_iv\S17\1506992085036183_front_horizondown/1506992085036183_front_horizondown_bottomleft.png;no
240318164830;malsha_iv\S17\1506992085036183_front_horizondown/1506992085036183_front_horizondown_bottomright.png;no
240318164831;malsha_iv\S17\1506992085036183_front_horizondown/1506992085036183_front_horizondown_topleft.png;yes
240318164832;malsha_iv\S17\1506992085036183_front_horizondown/1506992085036183_front_horizondown_topright.png;no
240318164832;malsha_iv\S17\1506992086036140_front_horizondown/1506992086036140_front_horizondown_bottomleft.png;no
240318164833;malsha_iv\S17\1506992086036140_front_horizondown/1506992086036140_front_horizondown_bottomright.png;no
240318164834;malsha_iv\S17\1506992086036140_front_horizondown/1506992086036140_front_horizondown_topleft.png;yes
240318164835;malsha_iv\S17\1506992086036140_front_horizondown/1506992086036140_front_horizondown_topright.png;no
240318164836;malsha_iv\S17\1506992087036009_front_horizondown/1506992087036009_front_horizondown_bottomleft.png;no
240318164836;malsha_iv\S17\1506992087036009_front_horizondown/1506992087036009_front_horizondown_bottomright.png;no
240318164837;malsha_iv\S17\1506992087036009_front_horizondown/1506992087036009_front_horizondown_topleft.png;yes
240318164838;malsha_iv\S17\1506992087036009_front_horizondown/1506992087036009_front_horizondown_topright.png;no
240318164839;malsha_iv\S17\1506992088036143_front_horizondown/1506992088036143_front_horizondown_bottomleft.png;no
240318164840;malsha_iv\S17\1506992088036143_front_horizondown/1506992088036143_front_horizondown_bottomright.png;no
240318164840;malsha_iv\S17\1506992088036143_front_horizondown/1506992088036143_front_horizondown_topleft.png;yes
240318164841;malsha_iv\S17\1506992088036143_front_horizondown/1506992088036143_front_horizondown_topright.png;no
240318164842;malsha_iv\S17\1506992089036172_front_horizondown/1506992089036172_front_horizondown_bottomleft.png;no
240318164843;malsha_iv\S17\1506992089036172_front_horizondown/1506992089036172_front_horizondown_bottomright.png;no
240318164914;malsha_iv\S17\1506992089036172_front_horizondown/1506992089036172_front_horizondown_topleft.png;no
