timestamp;image_file;test;prompt;response
240328145432;malsha_iv\Revere_S12/1613121137565764864_1613121137613124000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145442;malsha_iv\Revere_S12/1613121139861426432_1613121139910715000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145453;malsha_iv\Revere_S12/1613121139162231040_1613121139203719000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145502;malsha_iv\Revere_S12/1613121139062306304_1613121139026995000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145513;malsha_iv\Revere_S12/1613121142559137280_1613121142561786000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145523;malsha_iv\Revere_S12/1613121142060020992_1613121142031579000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145534;malsha_iv\Revere_S12/1613121139861426432_1613121139851796000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145545;malsha_iv\Revere_S12/1613121140761300992_1613121140735514000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145555;malsha_iv\Revere_S12/1613121138663138560_1613121138614615000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145605;malsha_iv\Revere_S12/1613121136667066624_1613121136670559000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145616;malsha_iv\Revere_S12/1613121137865723392_1613121137907683000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145627;malsha_iv\Revere_S12/1613121140461389568_1613121140440932000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145637;malsha_iv\Revere_S12/1613121137266521856_1613121137259665000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145648;malsha_iv\Revere_S12/1613121136267046400_1613121136258272000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145657;malsha_iv\Revere_S12/1613121141659630592_1613121141619219000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145709;malsha_iv\Revere_S12/1613121140361303552_1613121140323110000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145719;malsha_iv\Revere_S12/1613121141359603968_1613121141383545000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145730;malsha_iv\Revere_S12/1613121139361873152_1613121139321544000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145739;malsha_iv\Revere_S12/1613121138364471296_1613121138320050000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145751;malsha_iv\Revere_S12/1613121138265007360_1613121138261138000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145800;malsha_iv\Revere_S12/1613121143058782720_1613121143092004000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145811;malsha_iv\Revere_S12/1613121142459396864_1613121142502877000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145821;malsha_iv\Revere_S12/1613121138762855936_1613121138791352000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145831;malsha_iv\Revere_S12/1613121139262086144_1613121139262631000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;no
240328145841;malsha_iv\Revere_S12/1613121136967277568_1613121136965114000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
240328145852;malsha_iv\Revere_S12/1613121136167075584_1613121136199372000.png;0;Answer ONLY either "yes" or "no". Is there a human or part of a human in this image? :;yes
