timestamp;image_file;test;prompt;response
240328173020;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_bottomleft.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173029;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_bottomleft.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173033;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_bottomleft.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173043;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_bottomright.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173047;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_bottomright.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240328173052;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_bottomright.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173057;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_topleft.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173102;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_topleft.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173107;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_topleft.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173115;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_topright.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173119;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_topright.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173126;malsha_iv\Revere_S1\1612970330711086336_1612970330726164000_horizondown/1612970330711086336_1612970330726164000_horizondown_topright.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173132;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_bottomleft.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173140;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_bottomleft.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173148;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_bottomleft.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173151;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_bottomright.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173156;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_bottomright.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173206;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_bottomright.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173211;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_topleft.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173215;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_topleft.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173218;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_topleft.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173221;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_topright.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173224;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_topright.png;1;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240328173227;malsha_iv\Revere_S1\1612970331011045120_1612970330961818000_horizondown/1612970331011045120_1612970330961818000_horizondown_topright.png;2;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
