timestamp;image_file;test;prompt;response
240325162600;malsha_iv\Revere_S1/1612970330711086336_1612970330726164000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325162645;malsha_iv\Revere_S1/1612970331011045120_1612970330961818000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325162737;malsha_iv\Revere_S1/1612970331110946816_1612970331138558000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325162808;malsha_iv\Revere_S1/1612970331310588416_1612970331315298000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325162830;malsha_iv\Revere_S1/1612970331710216704_1612970331668778000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325162854;malsha_iv\Revere_S1/1612970331710216704_1612970331727692000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325162928;malsha_iv\Revere_S1/1612970332109984512_1612970332081172000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325162950;malsha_iv\Revere_S1/1612970332309671680_1612970332316826000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163044;malsha_iv\Revere_S10/1613120168637674752_1613120168664856000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163052;malsha_iv\Revere_S10/1613120169037142784_1613120169077201000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163101;malsha_iv\Revere_S10/1613120169537087744_1613120169489586000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163109;malsha_iv\Revere_S10/1613120170536264704_1613120170550113000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163119;malsha_iv\Revere_S10/1613120170936216064_1613120170903586000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163131;malsha_iv\Revere_S10/1613120172035824128_1613120172081937000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163140;malsha_iv\Revere_S10/1613120172135887104_1613120172140861000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163146;malsha_iv\Revere_S10/1613120174334663936_1613120174320907000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163206;malsha_iv\Revere_S10/1613120175133370368_1613120175145806000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163216;malsha_iv\Revere_S10/1613120175633545984_1613120175676152000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163223;malsha_iv\Revere_S11/1613120178732036352_1613120178740037000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163233;malsha_iv\Revere_S11/1613120179031740928_1613120179034615000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163244;malsha_iv\Revere_S11/1613120179431761664_1613120179388091000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163251;malsha_iv\Revere_S11/1613120179531594240_1613120179564837000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163258;malsha_iv\Revere_S11/1613120180031355136_1613120180036132000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163304;malsha_iv\Revere_S11/1613120180131325952_1613120180095044000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163313;malsha_iv\Revere_S11/1613120180231273728_1613120180212869000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163319;malsha_iv\Revere_S11/1613120181529624576_1613120181567739000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163330;malsha_iv\Revere_S11/1613120181729957888_1613120181685560000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163337;malsha_iv\Revere_S11/1613120181729957888_1613120181744466000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163345;malsha_iv\Revere_S11/1613120182230363904_1613120182215595000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163351;malsha_iv\Revere_S11/1613120182430534912_1613120182392216000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163359;malsha_iv\Revere_S12/1613121136167075584_1613121136199372000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163405;malsha_iv\Revere_S12/1613121136267046400_1613121136258272000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163412;malsha_iv\Revere_S12/1613121136667066624_1613121136670559000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163420;malsha_iv\Revere_S12/1613121136967277568_1613121136965114000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163440;malsha_iv\Revere_S12/1613121137266521856_1613121137259665000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163446;malsha_iv\Revere_S12/1613121137565764864_1613121137613124000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163453;malsha_iv\Revere_S12/1613121137865723392_1613121137907683000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163459;malsha_iv\Revere_S12/1613121138265007360_1613121138261138000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163508;malsha_iv\Revere_S12/1613121138364471296_1613121138320050000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163514;malsha_iv\Revere_S12/1613121138663138560_1613121138614615000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163522;malsha_iv\Revere_S12/1613121138762855936_1613121138791352000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163531;malsha_iv\Revere_S12/1613121139062306304_1613121139026995000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163542;malsha_iv\Revere_S12/1613121139162231040_1613121139203719000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163549;malsha_iv\Revere_S12/1613121139262086144_1613121139262631000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163556;malsha_iv\Revere_S12/1613121139361873152_1613121139321544000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163606;malsha_iv\Revere_S12/1613121139861426432_1613121139851796000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163614;malsha_iv\Revere_S12/1613121139861426432_1613121139910715000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163621;malsha_iv\Revere_S12/1613121140361303552_1613121140323110000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163629;malsha_iv\Revere_S12/1613121140461389568_1613121140440932000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163637;malsha_iv\Revere_S12/1613121140761300992_1613121140735514000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163650;malsha_iv\Revere_S12/1613121141359603968_1613121141383545000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163656;malsha_iv\Revere_S12/1613121141659630592_1613121141619219000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163704;malsha_iv\Revere_S12/1613121142060020992_1613121142031579000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163711;malsha_iv\Revere_S12/1613121142459396864_1613121142502877000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163719;malsha_iv\Revere_S12/1613121142559137280_1613121142561786000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163727;malsha_iv\Revere_S12/1613121143058782720_1613121143092004000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163735;malsha_iv\Revere_S13/1613121173429442560_1613121173432194000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163749;malsha_iv\Revere_S13/1613121174229391616_1613121174257004000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163756;malsha_iv\Revere_S13/1613121174429010176_1613121174433756000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163803;malsha_iv\Revere_S13/1613121174828685056_1613121174787256000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163812;malsha_iv\Revere_S13/1613121175128667392_1613121175081865000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163821;malsha_iv\Revere_S13/1613121175528434432_1613121175553241000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163827;malsha_iv\Revere_S13/1613121175628243968_1613121175612162000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163835;malsha_iv\Revere_S13/1613121176228228864_1613121176260253000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163842;malsha_iv\Revere_S13/1613121176328406272_1613121176378087000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163853;malsha_iv\Revere_S13/1613121176627719424_1613121176672714000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163908;malsha_iv\Revere_S13/1613121176827061504_1613121176790559000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163916;malsha_iv\Revere_S13/1613121176927123968_1613121176967299000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163923;malsha_iv\Revere_S13/1613121177427945728_1613121177438527000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163930;malsha_iv\Revere_S13/1613121177727235840_1613121177733099000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325163942;malsha_iv\Revere_S13/1613121178426614784_1613121178381297000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240325163948;malsha_iv\Revere_S13/1613121178626878720_1613121178675936000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;no
240325163957;malsha_iv\Revere_S13/1613121178726987776_1613121178734866000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164015;malsha_iv\Revere_S14/1613120096014015232_1613120096024547000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164023;malsha_iv\Revere_S14/1613120096114170368_1613120096083465000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164031;malsha_iv\Revere_S14/1613120096114170368_1613120096142384000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164039;malsha_iv\Revere_S14/1613120096214348544_1613120096201297000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164046;malsha_iv\Revere_S14/1613120096414635776_1613120096378006000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164054;malsha_iv\Revere_S14/1613120096814932480_1613120096790281000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164101;malsha_iv\Revere_S14/1613120096914925824_1613120096908066000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164107;malsha_iv\Revere_S14/1613120097114636544_1613120097084746000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164121;malsha_iv\Revere_S14/1613120097414226432_1613120097379236000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164129;malsha_iv\Revere_S14/1613120097614074880_1613120097614913000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164138;malsha_iv\Revere_S14/1613120097814062592_1613120097791717000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164147;malsha_iv\Revere_S14/1613120098214406400_1613120098204201000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164158;malsha_iv\Revere_S14/1613120098813723392_1613120098793200000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164205;malsha_iv\Revere_S14/1613120099013802496_1613120099028870000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164212;malsha_iv\Revere_S14/1613120099313806592_1613120099264499000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164222;malsha_iv\Revere_S14/1613120099313806592_1613120099323394000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164230;malsha_iv\Revere_S14/1613120100212874496_1613120100207155000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164237;malsha_iv\Revere_S14/1613120100812076288_1613120100796311000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164244;malsha_iv\Revere_S14/1613120100912070144_1613120100914161000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164256;malsha_iv\Revere_S14/1613120101012109824_1613120101032015000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164306;malsha_iv\Revere_S14/1613120101711857408_1613120101680163000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164312;malsha_iv\Revere_S14/1613120101711857408_1613120101739078000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164320;malsha_iv\Revere_S15/1615998106308358400_1615998106276822000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164328;malsha_iv\Revere_S15/1615998106408190464_1615998106453576000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164339;malsha_iv\Revere_S15/1615998106508022784_1615998106512487000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164348;malsha_iv\Revere_S15/1615998106707780096_1615998106689221000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164354;malsha_iv\Revere_S15/1615998106707780096_1615998106748144000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
240325164401;malsha_iv\Revere_S15/1615998106907721216_1615998106924895000.png;0;Is there a human or part of a human in this image? Answer only either "yes" or "no".;yes
